D,P,stone_dens,cluster_area,n_ants,cluster_dens,distance,cumulative,timepoints,ID,colony
0.466666667,0.066666667,0.591743718,0.763318061,0.58727615,0.03436657,27.3018852,0.533333333,135,R54.2,R54
0.466666667,0,0.211858862,0.763318061,0.58727615,0.03436657,24.27000098,0.466666667,135,R54.3,R54
0.2,0.2,0.034291718,-0.945888209,0.113773153,0.030416036,28.34388876,0.4,135,R34.1,R34
0.733333333,0.133333333,0.215129236,-0.945888209,0.113773153,0.030416036,24.57188188,0.866666667,135,R34.2,R34
0.133333333,0.266666667,0.127006361,-0.945888209,0.113773153,0.030416036,34.47560824,0.4,135,R34.3,R34
0.133333333,0,0.035457175,1.416189813,0.150283327,0.023331361,36.18143968,0.133333333,135,R29.1,R29
0,0,0.078793722,1.416189813,0.150283327,0.023331361,22.73742056,0,135,R29.2,R29
0,0,0.015758744,1.416189813,0.150283327,0.023331361,42.77907032,0,135,R29.3,R29
1.066666667,0.333333333,0.332300436,-0.172733184,-0.475061857,0.023064631,19.90477024,1.4,135,R05.1,R05
0,0.066666667,0.067823739,-0.172733184,-0.475061857,0.023064631,24.50413566,0.066666667,135,R05.2,R05
0.866666667,0.2,0.484657135,-0.172733184,-0.475061857,0.023064631,24.87301361,1.066666667,135,R05.3,R05
0.333333333,0,0.102276692,0.006423277,-0.625576768,0.03318379,40.32468006,0.333333333,150,R54.1,R54
0.133333333,0.066666667,0.616095311,0.006423277,-0.625576768,0.03318379,27.88236596,0.2,150,R54.2,R54
0.266666667,0.066666667,0.244002965,0.006423277,-0.625576768,0.03318379,24.19867504,0.333333333,150,R54.3,R54
0.2,0.133333333,0.024385221,-0.776475943,0.542406891,0.031333552,28.68458694,0.333333333,150,R34.1,R34
0.8,0,0.299735013,-0.776475943,0.542406891,0.031333552,24.49622122,0.8,150,R34.2,R34
0.533333333,0.466666667,0.122942158,-0.776475943,0.542406891,0.031333552,34.20060363,1,150,R34.3,R34
0.133333333,0.066666667,0.047276233,-0.271057314,-0.072358639,0.024673135,36.10709813,0.2,150,R29.1,R29
0.4,0.333333333,0.085956787,-0.271057314,-0.072358639,0.024673135,22.9016582,0.733333333,150,R29.2,R29
0,0,0.015758744,-0.271057314,-0.072358639,0.024673135,42.83763949,0,150,R29.3,R29
0.733333333,0.333333333,0.372559566,-0.449326246,-0.286434355,0.023978408,19.74127096,1.066666667,150,R05.1,R05
0.2,0.066666667,0.060287768,-0.449326246,-0.286434355,0.023978408,24.06919497,0.266666667,150,R05.2,R05
0.266666667,0.133333333,0.484814134,-0.449326246,-0.286434355,0.023978408,25.41734565,0.4,150,R05.3,R05
0.066666667,0,0.124193126,0.17138577,0.182991844,0.034375088,40.63017936,0.066666667,165,R54.1,R54
0.266666667,0.2,0.606354674,0.17138577,0.182991844,0.034375088,28.16046449,0.466666667,165,R54.2,R54
0.466666667,0,0.284913642,0.17138577,0.182991844,0.034375088,23.67645852,0.466666667,165,R54.3,R54
0.4,0,0.036831845,-0.125685788,0.328090022,0.030138256,29.15549459,0.4,165,R34.1,R34
0.2,0.066666667,0.358157939,-0.125685788,0.328090022,0.030138256,24.77775543,0.266666667,165,R34.2,R34
0.533333333,0.2,0.153793157,-0.125685788,0.328090022,0.030138256,33.72961529,0.733333333,165,R34.3,R34
0.4,0,0.081420179,-0.764436784,-0.851605519,0.024006484,35.90728787,0.4,165,R29.1,R29
0.2,0,0.102431838,-0.764436784,-0.851605519,0.024006484,22.78049351,0.2,165,R29.2,R29
0,0,0.015758744,-0.764436784,-0.851605519,0.024006484,42.37760306,0,165,R29.3,R29
0.466666667,0.266666667,0.39255558,-0.894635391,-1.040944363,0.022855614,19.75508405,0.733333333,165,R05.1,R05
0.466666667,0.133333333,0.082058351,-0.894635391,-1.040944363,0.022855614,24.01500963,0.6,165,R05.2,R05
0.333333333,0.133333333,0.490914682,-0.894635391,-1.040944363,0.022855614,25.47420893,0.466666667,165,R05.3,R05
0,0,0.124193126,0.403260163,1.153274178,0.035804735,40.48545306,0,180,R54.1,R54
0.2,0.533333333,0.599049196,0.403260163,1.153274178,0.035804735,28.18588568,0.733333333,180,R54.2,R54
0.2,0,0.321441032,0.403260163,1.153274178,0.035804735,23.84150054,0.2,180,R54.3,R54
0.133333333,0.2,0.06248713,-0.380267277,-0.100543716,0.029315673,28.55101519,0.333333333,180,R34.1,R34
0.466666667,0.333333333,0.368953479,-0.380267277,-0.100543716,0.029315673,24.27633116,0.8,180,R34.2,R34
0.133333333,0.133333333,0.171458588,-0.380267277,-0.100543716,0.029315673,34.37158498,0.266666667,180,R34.3,R34
0.066666667,0,0.110311211,-0.549914801,-0.851605519,0.02377053,35.71223419,0.066666667,180,R29.1,R29
0.266666667,0,0.130009641,-0.549914801,-0.851605519,0.02377053,22.70113164,0.266666667,180,R29.2,R29
0,0.066666667,0.007879372,-0.549914801,-0.851605519,0.02377053,41.95912486,0.066666667,180,R29.3,R29
0.266666667,0.066666667,0.400913657,-0.487603152,-0.097806853,0.024481652,20.37944885,0.333333333,180,R05.1,R05
0.066666667,0.133333333,0.113039565,-0.487603152,-0.097806853,0.024481652,23.65957757,0.2,180,R05.2,R05
0.4,0.466666667,0.52519921,-0.487603152,-0.097806853,0.024481652,25.68095701,0.866666667,180,R05.3,R05
0.133333333,0.066666667,0.133933763,-0.891242964,0.263848705,0.035927764,40.36213985,0.2,195,R54.1,R54
0.666666667,0.933333333,0.556738303,-0.891242964,0.263848705,0.035927764,27.95497713,1.6,195,R54.2,R54
0,0,0.32874651,-0.891242964,0.263848705,0.035927764,24.10672341,0,195,R54.3,R54
0.666666667,0.066666667,0.103914295,-1.176789492,0.399528978,0.031408165,28.31593986,0.733333333,195,R34.1,R34
0.8,0,0.422931183,-1.176789492,0.399528978,0.031408165,24.29077783,0.8,195,R34.2,R34
0.266666667,0.2,0.178534656,-1.176789492,0.399528978,0.031408165,34.56818736,0.466666667,195,R34.3,R34
1.533333333,0.266666667,0.206906477,-0.226655901,-0.740284536,0.023613273,35.88426724,1.8,195,R29.1,R29
0.2,0,0.157587444,-0.226655901,-0.740284536,0.023613273,22.73307712,0.2,195,R29.2,R29
0,0,0.007879372,-0.226655901,-0.740284536,0.023613273,42.2806415,0,195,R29.3,R29
0.533333333,0.4,0.402636165,-0.062636049,0.468075653,0.025193352,21.13163306,0.933333333,195,R05.1,R05
0.133333333,0,0.116807551,-0.062636049,0.468075653,0.025193352,23.15060067,0.133333333,195,R05.2,R05
0.2,0.333333333,0.516214014,-0.062636049,0.468075653,0.025193352,26.02407477,0.533333333,195,R05.3,R05
0.133333333,0.2,0.14610956,-1.208713705,-0.05957874,0.035768046,40.05316701,0.333333333,210,R54.1,R54
0.8,0.4,0.543446391,-1.208713705,-0.05957874,0.035768046,27.51209737,1.2,210,R54.2,R54
0.333333333,0.266666667,0.349039504,-1.208713705,-0.05957874,0.035768046,24.73290926,0.6,210,R54.3,R54
1.2,0.6,0.172164178,0.470634108,0.328090022,0.029591818,27.96962855,1.8,210,R34.1,R34
0.866666667,0.2,0.518662228,0.470634108,0.328090022,0.029591818,24.40090209,1.066666667,210,R34.2,R34
0.133333333,0,0.186699351,0.470634108,0.328090022,0.029591818,34.83779117,0.133333333,210,R34.3,R34
0,0,0.260019282,-0.444981646,-1.185568467,0.023160859,36.20248672,0,210,R29.1,R29
0.066666667,0.066666667,0.177285874,-0.444981646,-1.185568467,0.023160859,22.39974918,0.133333333,210,R29.2,R29
0,0,0.007879372,-0.444981646,-1.185568467,0.023160859,42.43749292,0,210,R29.3,R29
0.533333333,0,0.442738296,-0.18197766,-0.097806853,0.024025458,21.10438702,0.533333333,210,R05.1,R05
0.266666667,0,0.152603413,-0.18197766,-0.097806853,0.024025458,23.36190906,0.266666667,210,R05.2,R05
0.466666667,0.266666667,0.511075851,-0.18197766,-0.097806853,0.024025458,25.79734828,0.733333333,210,R05.3,R05
0.133333333,0.066666667,0.153415038,-0.516906103,0.182991844,0.035282661,40.32531847,0.2,225,R54.1,R54
0.4,0.066666667,0.572958203,-0.516906103,0.182991844,0.035282661,27.76742642,0.466666667,225,R54.2,R54
0.133333333,0,0.347010205,-0.516906103,0.182991844,0.035282661,24.27812176,0.133333333,225,R54.3,R54
